MEMBERSHIP_ID,BUS_PERCENT,STAY_C,LEADTIME,CRO_BOOK_PCT,MIDSCALE_PCT,UPSCALE_PCT,EXT_STAY_PCT,AIRPORT_PCT,RESORT_PCT,WEEKENDS_PCT,MEMBER_CLUB,POINTS_COLLECTOR,GDS_BOOK_PCT,WEB_BOOK_PCT,NIGHTSPERSTAY,REVPERNIGHT,REGISTRATION_B
1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,25,1
2,0,1,2,0,1,0,0,0,0,1,1,1,0,1,1,25,1
3,0,1,0,0,1,0,0,0,0,0.4,1,1,0,0,5,26,0
4,0,1,0,0,1,0,0,0,0,0,1,1,0,0,3,27,1
5,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,27,1
6,0,1,0,0,1,0,0,1,0,1,1,1,0,0,1,27,0
7,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,28,1
8,0,1,0,0,1,0,0,1,0,0.33,0,0,0,0,3,28.66,1
9,0,1,0,1,1,0,0,0,0,1,1,1,0,0,1,29,0
10,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,29,0
11,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,29,0
12,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,29,0
13,0,1,0,0,1,0,0,0,0,0,1,1,0,0,2,29,0
14,0,1,1,0,1,0,0,0,0,1,1,1,0,0,1,29,0
15,0,1,85,1,1,0,0,0,0,0.5,1,1,0,0,4,29,0
16,0,1,0,0,1,0,0,0,0,0.5,1,1,0,0,2,29.5,0
17,0,1,0,1,1,0,0,0,0,1,1,1,0,0,1,30,0
18,0,1,0,1,1,0,0,1,0,0,1,1,0,0,1,30,0
19,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,30,0
20,0,1,0,1,1,0,0,0,0,1,1,1,0,0,1,30,0
21,0,1,1,0,1,0,0,0,0,0.5,1,1,0,1,2,30,0
22,0,1,2,1,1,0,0,0,0,0,1,1,0,0,1,30,0
23,0,1,3,0,1,0,0,0,0,0,1,1,0,1,1,30,1
24,0,1,4,0,1,0,0,0,0,0.5,1,1,0,0,2,30,0
25,0,1,6,1,1,0,0,0,1,0,1,1,0,0,2,30,0
